Ticker,Accession Number,Fact Label,XBRL Tag,Dimension(s),Fact Value,Fact Date,Context Type,Unit,
320193,0001193125-09-214859,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,5520000000,9/28/08,Unknown,unit,
320193,0001193125-09-214859,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,5601000000,9/27/09,Unknown,unit,
320193,0001193125-10-238044,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,5601000000,9/27/09,Unknown,unit,
320193,0001193125-11-282113,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,12015000000,9/26/10,Unknown,unit,
320193,0001193125-10-238044,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,12015000000,9/26/10,Unknown,unit,
320193,0001193125-12-444068,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,14632000000,9/25/11,Unknown,unit,
320193,0001193125-11-282113,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,14632000000,9/25/11,Unknown,unit,
320193,0001193125-12-444068,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,21175000000,9/30/12,Unknown,unit,
320193,0001193125-13-416534,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,21175000000,9/30/12,Unknown,unit,
320193,0001193125-14-383437,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,22367000000,9/29/13,Unknown,unit,
320193,0001193125-13-416534,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,22367000000,9/29/13,Unknown,unit,
320193,0001193125-15-356351,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,30196000000,9/28/14,Unknown,unit,
320193,0001193125-14-383437,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,30196000000,9/28/14,Unknown,unit,
320193,0001193125-15-356351,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,35490000000,9/27/15,Unknown,unit,
320193,0001628280-16-020309,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,35490000000,9/27/15,Unknown,unit,
320193,0000320193-17-000070,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,37294000000,9/25/16,Unknown,unit,
320193,0001628280-16-020309,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,37294000000,9/25/16,Unknown,unit,
320193,0000320193-17-000070,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,49049000000,10/1/17,Unknown,unit,
320193,0000320193-18-000145,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,44242000000,10/1/17,Unknown,unit,
320193,0000320193-19-000119,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,55888000000,9/30/18,Unknown,unit,
320193,0000320193-18-000145,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,55888000000,9/30/18,Unknown,unit,
320193,0000320193-19-000119,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,46236000000,9/29/19,Unknown,unit,
320193,0000320193-20-000096,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,46236000000,9/29/19,Unknown,unit,
320193,0000320193-21-000105,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,42296000000,9/27/20,Unknown,unit,
320193,0000320193-20-000096,Accounts Payable Current,us-gaap:AccountsPayableCurrent,None,42296000000,9/27/20,Unknown,unit,
